,ydID,Province ,1990sNdeposition,2000sNdeposition,Nitrogendeposition,latitudeN,longitudeE,altitude,MAT¡æ,MAPmm,Amfunalrichness,EcMfunalrichness,Speciesrichness,Amrelativerichness,EcMrelativerichness,aboveCMg_ha,belowgroundCMg_ha,Total_tree_C_Mg_ha,AMaboveC,AMbelowC,AMtotalC,ECMaboveC,ECMbelowC,ECMtotalC
2387,CBSSYF080630003,Jilin,12.84,17.83,15.335,42.403889,128.098611,0,2.5,688,7,5,12,58.33333333,41.66666667,169.0127089,66.13934439,235.1520533,27.6026072,7.934749972,35.53735717,139.4360345,57.63318961,197.0692242
2542,CBSSYF080701004,Jilin,12.84,17.83,15.335,42.040278,128.514444,0,0.9,729,1,3,4,25,75,150.2703687,20.23096264,170.5013313,0.001142156,0.000596352,0.001738509,150.2692265,20.23036629,170.4995928
2485,CBSSYF080802021,Jilin,12.84,17.83,15.335,42.181528,128.141222,0,1.3,723,7,7,15,46.66666667,46.66666667,168.7934236,34.89392031,203.6873439,10.33851528,3.097001267,13.43551654,151.4143067,30.36988357,181.7841903
2540,CBSSYF080808028,Jilin,12.84,17.83,15.335,42.0425,128.061944,0,-2.1,869,0,2,2,0,100,5.269678919,1.212289301,6.48196822,0,0,0,5.269678919,1.212289301,6.481968222
2414,CBSSYF090711049,Jilin,12.84,17.83,15.335,42.308639,127.839917,0,1.2,741,7,0,8,87.5,0,181.4868885,35.4818964,216.9687849,7.047337378,2.261701267,9.309038644,0,0,0
2458,CBSSYF090720064,Jilin,12.84,17.83,15.335,42.236889,128.16125,0,1.3,723,3,7,12,25,58.33333333,181.4644604,41.05172009,222.5161805,5.872995739,1.684305871,7.557301611,151.2825598,34.98182898,186.2643888
2576,CBSSYF100804119,Jilin,12.84,17.83,15.335,42.011525,127.5853,0,2.1,761,4,6,11,36.36363636,54.54545455,60.28501054,14.94583156,75.2308421,5.69561265,1.729215086,7.424827739,32.50785426,8.5301497,41.03800396
2360,CBSSYF100811132,Jilin,12.84,17.83,15.335,42.461472,127.646472,0,2.2,745,10,6,17,58.82352941,35.29411765,70.44139669,22.36896559,92.81036228,11.91345521,3.45238694,15.36584215,33.60947241,13.61576293,47.22523534
2016,CBSSYF110730176,Jilin,12.84,17.83,15.335,43.371667,127.945,0,1.8,688,1,2,3,33.33333333,66.66666667,68.7145034,12.02218957,80.73669297,9.371278478,2.744531538,12.11581002,59.34322494,9.277658033,68.62088294
2281,CBSSYF110804193,Jilin,12.84,17.83,15.335,42.721389,128.317778,0,3.1,647,4,3,7,57.14285714,42.85714286,58.73724777,20.18207171,78.91931948,9.759887883,3.050818232,12.81070612,48.97735989,17.13125348,66.10861339
146,DXALYF100726051,Heilongjiang,11.25,14.34,12.795,51.619918,124.195485,0,-4.7,525,0,3,4,0,75,11.64119308,1.737221717,13.3784148,0,0,0,11.64119308,1.737221717,13.3784148
79,DXALYF100802117,Heilongjiang,11.25,14.34,12.795,52.743342,125.311125,0,-3.3,492,0,3,4,0,75,26.65768309,4.933697763,31.59138085,0,0,0,26.65768309,4.933697763,31.59138085
155,DXALYF100805132,Heilongjiang,11.25,14.34,12.795,51.563578,126.57493,0,-2.1,485,0,3,5,0,60,20.41362283,4.366902597,24.78052543,0,0,0,20.37914027,4.357559947,24.73670022
139,DXALYF100812247,Heilongjiang,11.25,14.34,12.795,51.707312,122.345658,0,-6.8,530,0,4,6,0,66.66666667,12.24544077,2.083815027,14.3292558,0,0,0,11.65210829,1.991203319,13.64331161
20,DXALYF100817173,Heilongjiang,11.25,14.34,12.795,53.21,122.24,0,-5.3,462,0,4,4,0,100,28.50945839,4.544881606,33.05434,0,0,0,28.50945839,4.544881606,33.05434
37,DXALYF100817174,Heilongjiang,11.25,14.34,12.795,53.119,123.0071,0,-4.5,461,0,3,3,0,100,13.84266142,2.223651114,16.06631253,0,0,0,13.84266142,2.223651114,16.06631253
17,DXALYF100819185,Heilongjiang,11.25,14.34,12.795,53.26,121.8297,0,-5.2,449,0,3,5,0,60,7.858402493,1.807601519,9.666004013,0,0,0,4.243281772,0.950459072,5.193740844
2154,HDLSYF080812058,Jilin,12.84,17.83,15.335,43.056306,125.761028,0,4.2,740,9,4,14,64.28571429,28.57142857,36.6455086,11.63183779,48.27734639,24.76823759,7.278506361,32.04674395,11.80156415,4.327402479,16.12896663
2115,HDLSYF080815074,Jilin,12.84,17.83,15.335,43.162444,125.441,0,4.5,720,12,2,17,70.58823529,11.76470588,29.29764844,6.581079889,35.87872833,7.288813533,2.37390259,9.662716122,21.76366311,4.147951037,25.91161415
2141,HDLSYF080903098,Jilin,12.84,17.83,15.335,43.085767,124.714933,0,5.3,679,0,1,2,0,0,32.72818323,6.553785083,39.28196831,0.000801826,0.00051887,0.001320696,32.72738141,6.553266211,39.28064762
2188,HDLSYF080905101,Jilin,12.84,17.83,15.335,42.97825,124.519861,0,5.6,696,3,1,4,75,25,52.06647496,9.644782287,61.71125725,0.000734051,0.000498892,0.001232943,52.06574091,9.644283394,61.71002428
2396,HDLSYF080917123,Jilin,12.84,17.83,15.335,42.374417,125.229861,0,4.4,812,3,6,10,30,60,19.94809303,9.794043193,29.74213623,0.01065172,0.005090368,0.015742088,19.93600513,9.788092028,29.72409716
2437,HDLSYF080918127,Jilin,12.84,17.83,15.335,42.269194,124.7355,0,5.4,805,1,5,10,10,50,4.266161387,1.050641613,5.316803,0.003255943,0.002328707,0.00558465,4.257385922,1.044860096,5.302246017
2275,HDLSYF080927145,Jilin,12.84,17.83,15.335,42.740917,124.722639,0,5.7,723,8,2,10,80,20,41.28298632,9.714191243,50.99717756,22.09736417,6.615853611,28.71321778,19.18562215,3.09833763,22.28395978
2800,LGSSYF090716004,Liaoning,14.75,18.76,16.755,41.324722,124.891111,0,4.6,1028,4,5,9,44.44444444,55.55555556,45.83971107,9.464951852,55.30466292,8.255323606,2.600864446,10.85618805,37.58438747,6.864087406,44.44847487
2376,LGSSYF100816120,Liaoning,14.75,18.76,16.755,42.425233,124.535133,0,6.3,750,2,1,4,50,25,11.46150569,3.663638941,15.12514463,7.771998894,2.462961379,10.23496027,2.142875487,0.695607452,2.838482939
2401,LGSSYF100818126,Liaoning,14.75,18.76,16.755,42.347383,124.7653,0,5.6,774,2,2,4,50,50,37.51164739,11.08863947,48.60028686,23.48295124,6.959388478,30.44233972,14.02869615,4.129250991,18.15794714
2068,LGSSYF100907129,Liaoning,14.75,18.76,16.755,43.287617,123.827183,0,6.5,553,0,0,1,0,0,26.78911494,5.748117956,32.53723289,NA,NA,NA,NA,NA,NA
2340,LGSSYF100908134,Liaoning,14.75,18.76,16.755,42.541533,125.044417,0,4.6,781,0,1,1,0,100,77.59428538,21.20777211,98.80205749,0,0,0,77.59428539,21.20777211,98.8020575
2339,LGSSYF100908137,Liaoning,14.75,18.76,16.755,42.544733,125.028417,0,4.6,781,1,0,1,100,0,55.12761126,16.06324846,71.19085972,55.12761126,16.06324846,71.19085972,0,0,0
2331,LGSSYF100917133,Liaoning,14.75,18.76,16.755,42.550817,125.03505,0,4.6,781,2,2,4,50,50,52.3313468,15.4094871,67.7408339,32.30146822,9.539732006,41.84120022,20.02987858,5.8697551,25.89963368
2327,LGSSYF101009131,Liaoning,14.75,18.76,16.755,42.55565,125.060517,0,4.6,781,0,1,1,0,100,52.35606525,32.80659916,85.16266441,0,0,0,52.35606525,32.80659916,85.16266439
2417,LXSDYF080717008,Liaoning,14.75,18.76,16.755,42.305056,121.455694,0,7.1,497,2,2,4,50,50,0.775865081,0.459135566,1.235000647,0.294621865,0.102206891,0.396828755,0.481243216,0.356928675,0.838171892
2768,LXSDYF080808018,Liaoning,14.75,18.76,16.755,41.45224,121.565384,0,8.6,581,4,4,9,44.44444444,44.44444444,38.15506854,19.23258556,57.38765409,7.081731889,2.180511294,9.262243183,30.50270395,16.87206552,47.37476947
2719,LXSDYF080814024,Liaoning,14.75,18.76,16.755,41.607,121.690967,0,8.6,573,1,1,2,50,50,22.0718606,4.202571436,26.27443203,0.00694409,0.002732673,0.009676763,22.06491651,4.199838763,26.26475527
3067,LXSDYF090710041,Liaoning,14.75,18.76,16.755,40.64408,119.26728,0,7.4,681,2,5,7,28.57142857,71.42857143,213.4357963,89.52124921,302.9570455,5.663529461,1.612302198,7.275831661,207.7722669,87.908947,295.6812139
3060,LXSDYF090711044,Liaoning,14.75,18.76,16.755,40.659983,119.214883,0,7.4,681,4,3,7,57.14285714,42.85714286,16.49199222,11.92368833,28.41568055,0.108917468,0.039904545,0.148822013,16.38307476,11.88378378,28.26685854
3117,LXSDYF110715154,Liaoning,14.75,18.76,16.755,40.4625,120.048056,0,8.8,628,6,1,8,75,12.5,31.13213591,6.01999818,37.15213409,0.540005583,0.182469187,0.72247477,30.50686918,5.806712444,36.31358162
3101,LXSDYF110721162,Liaoning,14.75,18.76,16.755,40.512691,120.041565,0,8.6,614,1,1,2,50,50,0.219024728,0.071357336,0.290382064,0.189191079,0.065711967,0.254903046,0.029833649,0.005645369,0.035479018
3009,LXSDYF110723167,Liaoning,14.75,18.76,16.755,40.822444,120.597528,0,8.4,587,1,1,2,50,50,23.98939719,16.0757586,40.06515579,1.292473154,0.476830766,1.769303919,22.69692404,15.59892783,38.29585187
3010,LXSDYF110723168,Liaoning,14.75,18.76,16.755,40.822349,120.577311,0,8.4,587,1,1,2,50,50,3.497620621,1.070573757,4.568194378,2.990674992,0.974300959,3.964975951,0.50694563,0.096272798,0.603218427
2563,LXSDYF110810188,Liaoning,14.75,18.76,16.755,42.01405,120.27574,0,5.9,468,1,0,1,100,0,3.885504095,1.441178732,5.326682827,3.885504096,1.441178732,5.326682827,0,0,0
1028,WDSSYF090726031,Heilongjiang,11.25,14.34,12.795,46.531167,133.118472,0,2.5,595,11,5,17,64.70588235,29.41176471,35.68200821,10.18985298,45.8718612,18.90406977,5.818035689,24.72210546,14.05740187,3.805982181,17.86338405
814,XXALYF080726001,Heilongjiang,11.25,14.34,12.795,47.36,128.193,0,0.1,651,1,4,5,20,80,36.01792755,8.735995098,44.75392264,1.458119373,0.417669118,1.875788491,34.55980817,8.318325978,42.87813415
986,XXALYF080727005,Heilongjiang,11.25,14.34,12.795,46.693,128.87,0,-0.4,681,0,1,2,0,50,7.603743376,1.939663927,9.543407303,0,0,0,3.659499096,0.684150806,4.343649901
844,XXALYF080729012,Heilongjiang,11.25,14.34,12.795,47.18,128.895,0,-0.3,678,4,3,7,57.14285714,42.85714286,97.33037475,28.00128461,125.3316594,5.958396444,1.765703693,7.724100139,91.37197828,26.23558092,117.6075592
838,XXALYF080730021,Heilongjiang,11.25,14.34,12.795,47.183383,128.978368,0,-0.3,678,10,3,14,71.42857143,21.42857143,15.50381503,4.342478632,19.84629366,4.19612516,1.365108078,5.561233239,11.17143796,2.930202193,14.10164016
519,XXALYF080816070,Heilongjiang,11.25,14.34,12.795,48.558,129.534,0,-1,656,3,5,8,37.5,62.5,71.83102701,19.69341698,91.52444399,1.501828996,0.483964057,1.985793053,70.329198,19.20945292,89.53865094
999,XXALYF090728002,Heilongjiang,11.25,14.34,12.795,46.615,127.6277,0,1.9,602,4,4,9,44.44444444,44.44444444,38.96046535,11.58770378,50.54816913,3.992132671,1.268676423,5.260809094,30.64513117,9.3527602,39.99789137
692,XXALYF090803014,Heilongjiang,11.25,14.34,12.795,47.766467,127.370594,0,0.9,585,3,8,11,27.27272727,72.72727273,42.73859747,11.21072852,53.94932599,17.57285113,5.482948229,23.05579936,25.16574633,5.727780294,30.89352663
497,XXALYF090809041,Heilongjiang,11.25,14.34,12.795,48.66,126.27,0,0.4,518,1,3,6,16.66666667,50,22.04764175,6.189463037,28.23710479,0,0,0,20.45338858,5.657211117,26.11059969
498,XXALYF090809042,Heilongjiang,11.25,14.34,12.795,48.66,126.27,0,0.4,518,1,3,5,20,60,17.76987205,3.353994208,21.12386626,0.091012923,0.030589579,0.121602502,17.67885912,3.323404629,21.00226376
499,XXALYF090809043,Heilongjiang,11.25,14.34,12.795,48.66,126.27,0,0.4,518,0,4,5,0,80,3.580495403,0.671707338,4.252202741,0,0,0,3.469835787,0.641371773,4.11120756
243,XXALYF090813047,Heilongjiang,11.25,14.34,12.795,50.75,125.94,0,-2.2,512,1,6,8,12.5,75,51.08038209,9.099937101,60.1803192,0.033118064,0.012339622,0.045457686,49.97481182,8.8182445,58.79305633
246,XXALYF090813048,Heilongjiang,11.25,14.34,12.795,50.75,125.94,0,-2.2,512,0,6,8,0,75,38.48289756,5.757856798,44.24075436,0,0,0,38.46725982,5.751570183,44.21883
371,XXALYF090814049,Heilongjiang,11.25,14.34,12.795,49.6,125.5,0,-0.4,494,0,3,3,0,100,23.03435022,5.925770279,28.9601205,0,0,0,23.03435022,5.925770278,28.9601205
372,XXALYF090814050,Heilongjiang,11.25,14.34,12.795,49.6,125.5,0,-0.4,494,0,4,4,0,100,40.36064212,22.43383857,62.79448069,0,0,0,40.36064212,22.43383857,62.79448067
326,XXALYF090814066,Heilongjiang,11.25,14.34,12.795,49.987,125.64,0,-1.3,509,0,5,7,0,71.42857143,12.17848446,2.623782253,14.80226671,0,0,0,12.17848446,2.623782253,14.80226671
358,XXALYF090815069,Heilongjiang,11.25,14.34,12.795,49.65,125.52,0,-0.6,502,0,1,2,0,50,0.05490782,0.011207077,0.066114897,0,0,0,0.05490782,0.011207077,0.066114897
1264,XXALYF110729008,Heilongjiang,11.25,14.34,12.795,46.19722,127.861337,0,2.4,613,8,2,11,72.72727273,18.18181818,13.02569576,3.968844197,16.99453996,6.1855457,2.031463159,8.217008861,4.115492212,1.327868101,5.443360312
1252,XXALYF110803025,Heilongjiang,11.25,14.34,12.795,46.208783,128.775067,0,1.6,632,11,6,18,61.11111111,33.33333333,29.41329177,6.81332008,36.22661185,3.179223183,1.084685311,4.263908493,10.54956053,2.572452699,13.12201323
1260,XXALYF110803027,Heilongjiang,11.25,14.34,12.795,46.2031,128.775228,0,1.6,632,8,2,11,72.72727273,18.18181818,11.71573139,3.578396175,15.29412757,9.931799522,3.08619739,13.01799691,0.476442494,0.116206251,0.592648746
1493,ZGCLYF090719010,Heilongjiang,11.25,14.34,12.795,45.247594,127.703978,0,2.3,669,9,2,11,81.81818182,18.18181818,28.68996272,8.837363831,37.52732655,25.19302724,7.82934575,33.02237299,3.496935473,1.008018083,4.504953557
1432,ZGCLYF090805064,Heilongjiang,11.25,14.34,12.795,45.463664,129.631906,0,1.6,616,10,6,17,58.82352941,35.29411765,38.18779871,10.26601043,48.45380914,7.732090689,2.544794179,10.27688487,17.53767036,5.015232206,22.55290256
1764,ZGCLYF090812190,Heilongjiang,11.25,14.34,12.795,44.107722,127.251028,0,2.5,692,13,3,16,81.25,18.75,53.91882775,27.36752842,81.28635617,12.72504752,4.09625613,16.82130366,41.19378023,23.27127229,64.4650525
164,DXALYF100727053,Heilongjiang,11.25,14.34,12.795,51.430318,124.230607,2,-4.5,524,0,3,5,0,60,13.27989433,2.512646573,15.79254091,0,0,0,13.27989433,2.512646573,15.79254091
2177,CBSSYF100819150,Jilin,12.84,17.83,15.335,42.99525,127.163417,4,3.6,739,8,4,15,53.33333333,26.66666667,34.34772045,9.039676291,43.38739674,7.15707135,2.126418713,9.283490061,15.40076163,4.402144654,19.80290628
2269,LYLSYF100808061,Jilin,12.84,17.83,15.335,42.757728,130.305358,30,5.9,614,1,0,2,50,0,42.1740296,8.967646481,51.14167608,0,0,0,0,0,0
2326,LYLSYF100807053,Jilin,12.84,17.83,15.335,42.557556,130.527333,38,6.2,682,7,5,13,53.84615385,38.46153846,54.02607067,27.07033837,81.09640904,6.087032439,1.802370796,7.889403233,47.77486309,25.21410142,72.9889645
3182,LGSSYF100918109,Liaoning,14.75,18.76,16.755,39.9014,123.573,45,9,819,5,3,8,62.5,37.5,53.33296077,13.0626246,66.39558537,11.24146868,2.193011081,13.43447976,42.09149209,10.86961352,52.96110561
3173,LGSSYF100917108,Liaoning,14.75,18.76,16.755,40.010278,124.114167,50,8.4,938,0,1,1,0,100,34.86641632,8.486157078,43.3525734,0,0,0,34.86641632,8.486157078,43.35257339
2268,LYLSYF100807057,Jilin,12.84,17.83,15.335,42.757833,130.313667,53,5.9,614,6,3,13,46.15384615,23.07692308,33.86539111,6.896091761,40.76148287,0.135859115,0.058455975,0.194315089,33.47068913,6.745699117,40.21638824
967,WDSSYF090804060,Heilongjiang,11.25,14.34,12.795,46.805572,133.220672,61.4,2.5,600,5,4,10,50,40,66.47125137,31.82842701,98.29967837,0.564521142,0.205729833,0.770250975,54.06607495,29.24156818,83.30764311
968,WDSSYF090804059,Heilongjiang,11.25,14.34,12.795,46.805394,133.220883,69.9,2.5,600,4,4,9,44.44444444,44.44444444,40.77010361,16.30188643,57.07199004,1.169242572,0.386486188,1.55572876,33.19987431,14.5869939,47.78686821
1128,WDSSYF090812101,Heilongjiang,11.25,14.34,12.795,46.376639,131.243067,71,1.7,588,5,5,10,50,50,176.3401366,30.48826496,206.8284015,23.76551242,6.9091391,30.67465152,152.5746242,23.57912586,176.15375
1130,WDSSYF090808088,Heilongjiang,11.25,14.34,12.795,46.373922,133.720411,71.2,2.6,634,4,4,9,44.44444444,44.44444444,391.6929592,187.4212389,579.114198,1.187160532,0.426150357,1.613310888,334.4201014,175.6592979,510.0793993
616,XXALYF110729108,Heilongjiang,11.25,14.34,12.795,48.111217,130.74061,72.6,0.8,621,2,6,9,22.22222222,66.66666667,33.91133729,15.30694481,49.2182821,0.482947223,0.151506798,0.634454022,32.66673066,14.98859069,47.65532136
954,WDSSYF090805063,Heilongjiang,11.25,14.34,12.795,46.868711,133.383761,74.2,1.9,624,1,2,3,33.33333333,66.66666667,125.090236,34.45264328,159.5428793,3.674124129,1.17773315,4.851857279,121.4161119,33.27491013,154.691022
955,WDSSYF090805064,Heilongjiang,11.25,14.34,12.795,46.868711,133.383889,75,1.9,624,0,2,2,0,100,89.69123278,23.29140021,112.982633,0,0,0,89.69123278,23.29140021,112.982633
1131,WDSSYF090808089,Heilongjiang,11.25,14.34,12.795,46.373694,133.720689,77.1,2.6,634,5,2,8,62.5,25,290.6740301,73.39017238,364.0642025,15.50736006,4.951952107,20.45931217,33.29853146,19.10695217,52.40548362
1332,XXALYF110805037,Heilongjiang,11.25,14.34,12.795,46.008067,129.136117,80.4,2.7,598,2,3,8,25,37.5,52.44652796,25.05076808,77.49729604,0,0,0,49.19320835,24.27208762,73.46529594
645,XXALYF110728106,Heilongjiang,11.25,14.34,12.795,48.00707,130.728625,81.1,0.8,621,2,3,6,33.33333333,50,15.56666542,3.844084474,19.41074989,4.300080009,1.286339763,5.586419772,11.25273113,2.552106586,13.80483772
1341,XXALYF110805033,Heilongjiang,11.25,14.34,12.795,45.991555,129.141308,82.9,2.9,593,0,1,2,0,50,8.985236992,2.143161654,11.12839865,0,0,0,0,0,0
2293,LYLSYF100807055,Jilin,12.84,17.83,15.335,42.669056,130.406389,84,5.3,641,4,2,6,66.66666667,33.33333333,64.12263081,37.97914323,102.101774,1.03810797,0.31451085,1.352618819,63.08452283,37.66463238,100.7491552
3159,LGSSYF100818098,Liaoning,14.75,18.76,16.755,40.176667,123.909167,86,7.9,926,4,6,10,40,60,50.10362547,23.87214869,73.97577416,0.994515934,0.328974703,1.323490637,47.42808778,23.03058253,70.45867033
3167,LGSSYF100917107,Liaoning,14.75,18.76,16.755,40.022222,124.122778,86,8.4,938,0,2,3,0,66.66666667,13.71628712,6.338357347,20.05464447,0,0,0,13.35950188,6.227408589,19.58691047
1317,XXALYF110805040,Heilongjiang,11.25,14.34,12.795,46.06403,129.113605,88.1,2.7,598,0,0,1,0,0,17.15026601,4.024896436,21.17516245,NA,NA,NA,NA,NA,NA
1113,WDSSYF090808086,Heilongjiang,11.25,14.34,12.795,46.393106,133.717517,91.4,2.6,634,3,2,7,42.85714286,28.57142857,239.7107073,108.9890748,348.6997821,40.05193293,12.21653206,52.26846498,164.2920629,86.63744683,250.9295097
1114,WDSSYF090808087,Heilongjiang,11.25,14.34,12.795,46.392828,133.7176,92,2.6,634,4,3,8,50,37.5,311.2906777,147.601617,458.8922948,49.50330085,14.61049022,64.11379106,243.2899464,129.2033477,372.4932941
1111,WDSSYF090808085,Heilongjiang,11.25,14.34,12.795,46.393333,133.7001,93.2,2.6,634,4,2,6,66.66666667,33.33333333,201.7475032,93.24902616,294.9965293,55.75420444,17.51010633,73.26431078,145.9932987,75.73891983,221.7322186
1330,XXALYF110805038,Heilongjiang,11.25,14.34,12.795,46.00842,129.137997,93.3,2.7,598,4,3,9,44.44444444,33.33333333,70.88069932,40.29527467,111.175974,1.746322768,0.518256021,2.264578789,67.72752356,39.48582956,107.2133531
1339,XXALYF110805034,Heilongjiang,11.25,14.34,12.795,45.992743,129.140362,93.6,2.9,593,1,2,4,25,50,39.36668235,6.929337218,46.29601956,0,0,0,38.81123797,6.808063344,45.61930132
478,XXALYF110730112,Heilongjiang,11.25,14.34,12.795,48.73041,130.069363,94.1,-0.4,622,1,2,5,20,40,7.514264483,4.914555374,12.42881986,0.016802774,0.006314206,0.02311698,7.018646189,4.771260567,11.78990676
3169,LGSSYF100916104,Liaoning,14.75,18.76,16.755,40.016944,124.090833,95,8.4,938,1,2,4,25,50,12.79880043,2.412526894,15.21132732,0.280498376,0.087149609,0.367647985,12.31973964,2.262274509,14.58201414
1179,WDSSYF090807082,Heilongjiang,11.25,14.34,12.795,46.301678,133.273064,95.4,3,597,4,3,8,50,37.5,180.4624922,53.27597822,233.7384704,38.38694784,12.03184354,50.41879138,32.99840282,17.43254008,50.4309429
602,XXALYF110727101,Heilongjiang,11.25,14.34,12.795,48.128925,130.623563,95.8,0.3,628,6,4,11,54.54545455,36.36363636,5.867357396,1.07180157,6.939158965,0,0,0,5.867357394,1.071801569,6.939158967
1335,XXALYF110805036,Heilongjiang,11.25,14.34,12.795,46.00784,129.135215,96.2,2.7,598,0,3,5,0,60,76.45558808,31.23464391,107.690232,0,0,0,75.51868422,31.02843288,106.5471171
1337,XXALYF110805035,Heilongjiang,11.25,14.34,12.795,46.003514,129.13266,96.5,2.7,598,0,0,1,0,0,18.67389582,4.356854593,23.03075042,NA,NA,NA,NA,NA,NA
1186,WDSSYF090807081,Heilongjiang,11.25,14.34,12.795,46.285286,133.273075,98,3,597,3,2,6,50,33.33333333,89.27598934,32.89347027,122.1694596,7.881722944,2.660021467,10.54174441,81.39426639,30.2334488,111.6277152
458,XXALYF080825098,Heilongjiang,11.25,14.34,12.795,48.9911,129.889537,98.9,-0.3,620,0,5,5,0,100,18.47909892,3.417006846,21.89610576,0,0,0,18.47909892,3.417006847,21.89610577
3181,LGSSYF100918110,Liaoning,14.75,18.76,16.755,39.902778,123.595278,99,9,819,4,2,6,66.66666667,33.33333333,24.07359741,7.621506701,31.69510411,4.718017822,1.49580139,6.213819211,19.35557958,6.125705311,25.48128489
